File Name,Pathology_expert_1,Realism_expert_1,Composition_expert_1,Pathology_expert_2,Realism_expert_2,Composition_expert_2,prompt
one_image_of_a_patient_with_hammertoe_and_dupuytrens_contracture.png,1.0,3,1,,,,One image of a patient with 'Hammertoe' and 'Dupuytren’s contracture'
one_image_of_a_patient_with_hip_abductor_weakness_and_arachnodactyly.png,0.0,3,3,,,,One image of a patient with 'Hip abductor weakness' and 'Arachnodactyly'
one_image_of_a_patient_with_hyperlordosis_and_hip_abductor_weakness.png,1.5,3,2,1.0,3.0,1.0,One image of a patient with 'Hyperlordosis' and 'Hip abductor weakness'
one_image_of_a_patient_with_hypodontia_and_shoulder_dislocation.png,1.5,3,3,,,,One image of a patient with 'Hypodontia' and 'Shoulder dislocation'
one_image_of_a_patient_with_knee_joint_effusion_and_anophthalmia.png,1.0,3,3,,,,One image of a patient with 'Knee joint effusion' and 'Anophthalmia'
one_image_of_a_patient_with_knee_valgus_and_strabismus.png,1.5,3,3,,,,One image of a patient with 'Knee valgus' and 'Strabismus'
one_image_of_a_patient_with_knee_varus_and_swan_neck_contracture.png,0.0,3,1,0.0,3.0,1.0,One image of a patient with 'Knee varus' and 'Swan neck contracture'
one_image_of_a_patient_with_kyphosis_and_excessively_high_foot_arch.png,1.0,2,1,,,,One image of a patient with 'Kyphosis' and 'Excessively high foot arch'
one_image_of_a_patient_with_leg_amputation_and_webbed_neck.png,1.5,1,3,,,,One image of a patient with 'Leg amputation' and 'Webbed neck'
one_image_of_a_patient_with_macroglossia_and_dental_caries.png,3.0,2,3,2.0,3.0,3.0,One image of a patient with 'Macroglossia' and 'Dental caries'
one_image_of_a_patient_with_madarosis_affecting_eyelids_and_asymmetrical_ear_siz.png,3.0,3,3,,,,One image of a patient with 'Madarosis affecting eyelids' and 'Asymmetrical ear size'
one_image_of_a_patient_with_mallet_finger_and_neck_hump.png,1.5,2,2,2.0,2.0,2.0,One image of a patient with 'Mallet finger' and 'Neck hump'
one_image_of_a_patient_with_microcephaly_and_blepharitis.png,3.0,3,3,2.0,3.0,2.0,One image of a patient with 'Microcephaly' and 'Blepharitis'
one_image_of_a_patient_with_microtia_and_scoliosis.png,0.0,3,3,,,,One image of a patient with 'Microtia' and 'Scoliosis'
one_image_of_a_patient_with_nasal_tip_collapse_and_dental_tartar.png,1.5,3,3,,,,One image of a patient with 'Nasal tip collapse' and 'Dental tartar'
one_image_of_a_patient_with_neck_hump_and_syndactyly_affecting_fingers.png,1.5,2,1,,,,One image of a patient with 'Neck hump' and 'Syndactyly affecting fingers'
one_image_of_a_patient_with_notch_in_ear_and_excessively_flat_foot_arch.png,1.5,3,1,2.5,3.0,3.0,One image of a patient with 'Notch in ear' and 'Excessively flat foot arch'
one_image_of_a_patient_with_off_center_columella_and_temporomandibular_joint_dis.png,1.0,3,3,2.0,3.0,3.0,One image of a patient with 'Off-center columella' and 'Temporomandibular joint dislocation'
one_image_of_a_patient_with_overbite_and_genu_recurvatum.png,0.0,3,0,,,,One image of a patient with 'Overbite' and 'Genu recurvatum'
one_image_of_a_patient_with_pectus_carinatum_non_sexual_medical_image_of_male_pa.png,0.0,3,0,,,,"One image of a patient with 'Pectus carinatum (non-sexual, medical image of male patient)' and 'Pectus carinatum '"
one_image_of_a_patient_with_pectus_excavatum_non_sexual_medical_image_of_male_pa.png,2.0,2,3,,,,"One image of a patient with 'Pectus excavatum (non-sexual, medical image of male patient)' and 'Arrhinia'"
one_image_of_a_patient_with_polydactyly_affecting_fingers_and_asymmetric_smile.png,1.5,3,3,,,,One image of a patient with 'Polydactyly affecting fingers' and 'Asymmetric smile'
one_image_of_a_patient_with_preauricular_pit_and_rhinophyma.png,1.5,3,1,,,,One image of a patient with 'Preauricular pit' and 'Rhinophyma'
one_image_of_a_patient_with_rhinophyma_and_nasal_tip_collapse.png,1.5,3,3,1.5,3.0,2.0,One image of a patient with 'Rhinophyma' and 'Nasal tip collapse'
one_image_of_a_patient_with_saddle_nose_deformity_and_abnormal_eye_protrusion.png,1.0,3,3,,,,One image of a patient with 'Saddle nose deformity' and 'Abnormal eye protrusion'
one_image_of_a_patient_with_scapular_winging_and_knee_valgus.png,1.5,3,1,,,,One image of a patient with 'Scapular winging' and 'Knee valgus'
one_image_of_a_patient_with_scoliosis_and_bakers_cyst.png,1.0,2,2,,,,One image of a patient with 'Scoliosis' and 'Baker's cyst'
one_image_of_a_patient_with_shoulder_dislocation_and_off_center_columella.png,0.5,3,3,3.0,3.0,3.0,One image of a patient with 'Shoulder dislocation' and 'Off-center columella'
one_image_of_a_patient_with_strabismus_and_cauliflower_ear.png,3.0,3,3,,,,One image of a patient with 'Strabismus' and 'Cauliflower ear'
one_image_of_a_patient_with_sublaxation_of_patella_and_saddle_nose_deformity.png,2.0,2,3,2.0,3.0,3.0,One image of a patient with 'Sublaxation of patella' and 'Saddle nose deformity'
one_image_of_a_patient_with_swan_neck_contracture_and_abnormal_tilt_of_ear.png,2.0,3,2,1.0,3.0,3.0,One image of a patient with 'Swan neck contracture' and 'Abnormal tilt of ear'
one_image_of_a_patient_with_swollen_parotid_gland_and_abnormal_chin_projection.png,0.0,3,3,3.0,3.0,3.0,One image of a patient with 'Swollen parotid gland' and 'Abnormal chin projection'
one_image_of_a_patient_with_syndactyly_affecting_fingers_and_goiter.png,3.0,3,3,2.0,3.0,2.0,One image of a patient with 'Syndactyly affecting fingers' and 'Goiter'
one_image_of_a_patient_with_temporomandibular_joint_dislocation_and_broken_leg_c.png,0.5,3,3,,,,One image of a patient with 'Temporomandibular joint dislocation' and 'Broken leg (closed fracture)'
one_image_of_a_patient_with_tooth_erosion_and_cervical_lymphadenopathy.png,3.0,3,3,,,,One image of a patient with 'Tooth erosion' and 'Cervical lymphadenopathy'
one_image_of_a_patient_with_torticollis_and_madarosis_affecting_eyelids.png,2.5,3,2,2.5,3.0,2.0,One image of a patient with 'Torticollis' and 'Madarosis affecting eyelids'
one_image_of_a_patient_with_trigger_finger_tenosynovitis_and_gout_affecting_foot.png,1.5,3,1,3.0,3.0,3.0,One image of a patient with 'Trigger finger tenosynovitis' and 'Gout affecting foot'
one_image_of_a_patient_with_ulnar_drift_and_microcephaly.png,0.0,3,2,1.0,3.0,3.0,One image of a patient with 'Ulnar drift' and 'Microcephaly'
one_image_of_a_patient_with_underbite_and_preauricular_pit.png,1.5,2,3,,,,One image of a patient with 'Underbite' and 'Preauricular pit'
one_image_of_a_patient_with_unilateral_drooping_eyelid_and_overbite.png,2.5,3,3,3.0,3.0,3.0,One image of a patient with 'Unilateral drooping eyelid' and 'Overbite'
one_image_of_a_patient_with_webbed_neck_and_tooth_erosion.png,1.5,3,3,,,,One image of a patient with 'Webbed neck' and 'Tooth erosion'
